field_variance,field_range,subDomains,meshNodes,beta0.true,RMSE_MeshExact,RMSE_Voronoi,RMSE_DualMesh,RMSE_DualMeshExtra,RMSE_DualMeshExtraMeshMapped,RMSE_BarycentricPointSpread,RMSE_BarycentricPointSpreadManyPoints,RMSE_AvgApproxMethods,bias_MeshExact,bias_Voronoi,bias_DualMesh,bias_DualMeshExtra,bias_DualMeshExtraMeshMapped,bias_BarycentricPointSpread,bias_BarycentricPointSpreadManyPoints,bias_AvgApproxMethods,sd_MeshExact,sd_Voronoi,sd_DualMesh,sd_DualMeshExtra,sd_DualMeshExtraMeshMapped,sd_BarycentricPointSpread,sd_BarycentricPointSpreadManyPoints,sd_AvgApproxMethods
0.1,0.25,2,4324,0,0.0306762955965897,0.00910707506901177,0.00954557826789788,0.0101934340323483,0.00954664402462677,0.00961040598559808,0.00952980765565938,0.00945915510426847,-0.0306683200657338,-0.00898578964147662,-0.00947845375001538,-0.0101344751092537,-0.0094822692930704,-0.00954646553877391,-0.00946531725156511,-0.00939165909498028,0.00778401131729748,0.00818754075988279,0.00812094510976321,0.0080749379305851,0.00808167086958844,0.00808093946338164,0.00808169477611762,0.0081009849064516
0.1,0.25,2,16429,0,0.0147625443424344,0.011151810038334,0.0108164992111485,0.0104196913097647,0.010815746996439,0.010796100086361,0.0108111362420288,0.0108763833925926,-0.0147600547445294,0.0111234438615477,0.0107985934784262,0.0104019307371032,0.0107983895995571,0.0107787050800842,0.010793771734384,0.0108585807507999,0.00794319500515369,0.00823588633272553,0.00822135970243344,0.00820691808343569,0.00820889858291776,0.00820879441414878,0.00820887126042081,0.00821421488082166
0.1,0.25,8,126,0,0.0507611269665382,0.0498892552608281,0.0499254576368527,0.0502541714371776,0.0499067758342847,0.0488642794877604,0.0511394220601051,0.0499359556418382,-0.0506323856211866,-0.049721198934197,-0.0497750793242505,-0.0501237310095074,-0.049775038642494,-0.0487296000905106,-0.0510108243226918,-0.0498023482628288,0.00675412392352961,0.00781825969081318,0.00780571671226797,0.00676149121139713,0.00676601606758146,0.00676434130664201,0.00676017566457232,0.00713825092940844
0.1,0.25,8,183,0,0.0503205904453588,0.0488581944554177,0.0489320520084845,0.0494205731744969,0.0489091799922116,0.0521065874026693,0.0491218983876984,0.0495771507581851,-0.0502255239677044,-0.0487219338453321,-0.0488224388537321,-0.0493235969995868,-0.0488108724281389,-0.0520141641252014,-0.0490240034102884,-0.0494786825325386,0.00697663469009419,0.00795320640692596,0.00777463970654474,0.006991389307223,0.00699768194033249,0.0069839767902218,0.00699620573875006,0.00729806067754008
0.1,0.25,8,359,0,0.0491003877230668,0.0461179789497101,0.0462311221293952,0.0468703285580635,0.0462103785078317,0.0461002693260403,0.0459133298524875,0.0461072706442111,-0.0490341823388219,-0.0460102852743401,-0.0461514088430203,-0.0467995564258181,-0.0461380295724838,-0.0460277465295421,-0.0458405085808376,-0.0460335957600448,0.00716031014635544,0.00794633088088839,0.00773896626226611,0.00719734049260039,0.00720505166130136,0.00720452587583762,0.00720588448732569,0.00742146129110833
0.1,0.25,8,1179,0,0.0437538520633722,0.0342781267841534,0.0345613483075227,0.0352596689860104,0.034216120169211,0.0351482363494315,0.0345131266662755,0.0345386468671092,-0.0437234146043302,-0.0342058404368658,-0.0345134445703888,-0.035215769796666,-0.0341698735260704,-0.0351032432621289,-0.0344673183806358,-0.034491944035218,0.00744736169997797,0.0078556712117733,0.00777412292391824,0.00760103403376754,0.00761328850855919,0.00760916607678109,0.00761269297688671,0.00767254786986135
0.1,0.25,8,4324,0,0.0308619736123093,0.00941685161374824,0.00989156496084023,0.0110985221554492,0.00988755657058898,0.0100649411499157,0.00985319818983761,0.00981315246392977,-0.0308517050080675,-0.00928625942164155,-0.00981757219897836,-0.0110392727686368,-0.00981863873910708,-0.009997231899607,-0.00978402290444788,-0.00974074503275637,0.00765667797339799,0.0080802347437702,0.00802078261214652,0.00792801798143221,0.00793845554768258,0.00793716256849748,0.00793855394965683,0.00797201145078362
0.1,0.25,8,16429,0,0.0148481092390365,0.0110779387639259,0.0107434213906635,0.00997160357937029,0.0107421044544672,0.0107321407072432,0.0107345262457763,0.0108040131225255,-0.01484508385206,0.0110489430929357,0.0107242177582004,0.0099525974093895,0.0107239814454614,0.0107140024366566,0.0107163906989664,0.0107855070864441,0.00782654185226109,0.00813151609122931,0.00811839786258938,0.00808595227196307,0.00809083631889441,0.00809073191662495,0.00809074290854633,0.00810170850141813
0.1,0.25,32,126,0,0.0509724367345802,0.0500909152685093,0.0501435671193357,0.0506780226054666,0.0501156054565844,0.0499748477357554,0.0517688803679843,0.0504130552992679,-0.0507107973189081,-0.0498020087651595,-0.0498625315742923,-0.0504148286520903,-0.0498490805543142,-0.0497074960749507,-0.0515108189284043,-0.0501463871794242,0.00549889379813075,0.00587603064307205,0.00606006360062985,0.00550192482940092,0.00551040275302887,0.00550940757894413,0.00550321875820071,0.00564667208449617
0.1,0.25,32,183,0,0.0504875261348485,0.0490323244508272,0.0491097633314114,0.0466767988981567,0.0458483628202134,0.0478536711508218,0.0501936587397143,0.0483956481083935,-0.0502784122135349,-0.048766226262918,-0.0488630615536649,-0.0464499647050266,-0.0456168148636517,-0.0476323231996468,-0.0499826955480068,-0.0481722242855776,0.00593425029059771,0.00711383677592299,0.00702862007511231,0.00594942571208313,0.00596188500391654,0.00596065902337173,0.00595028495597335,0.0063359769325772
